Class,Topic
1,"[Course toolbox](class_notes/class01)"
2,"[Python fundamentals I](class_notes/class02)"
3,"[Python fundamentals II](class_notes/class03)"
4,"[Python for scientific computing I](class_notes/class04)"
5,"[Python for scientific computing II](class_notes/class05)"
6,"[Python for scientific computing III](class_notes/class06)"
7,"[System dynamics models: Growth and decay](class_notes/class07)"
8,"[System dynamics models: Growth and decay II](class_notes/class08)"
9,"[System dynamics models: Drug dosage I](class_notes/class09)"
10,"[System dynamics models: Drug dosage II](class_notes/class10)"
11,"[System dynamics models: Damped oscillator and bungee jumping I](class_notes/class11)"
12,"[System dynamics models: Damped oscillator and bungee jumping II](class_notes/class12)"
13,"[System dynamics models: Damped oscillator and bungee jumping III and shark competition model](class_notes/class13)"
14,"[Data-driven modeling I](class_notes/class14)"
15,"[Data-driven modeling II](class_notes/class15)"
16,"[Data-driven modeling III](class_notes/class16)"
17,"[Data-driven modeling IV](class_notes/class17)"
18,"[Monte Carlo simulations I](class_notes/class18)"
19,"[Monte Carlo simulations II](class_notes/class19)"
20,"[Monte Carlo simulations III](class_notes/class20)"
21,"[Cellular automata I: Heat diffusion](class_notes/heat_diffusion)"
22,"[Cellular automata II: Forest fire](class_notes/forest_fire)"
23,"[Cellular automata III: Ants](class_notes/ants)"
24,"[Course wrap-up](class_notes/wrapup)"
